,equal,bracket_r,comment,grid,quat_mark,word_from,point,comma,word_select,word_union,star,word_where,word_or,line,percent,point_comma,dollar,plus,at,Label
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3,5,0,0,3,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1
2,2,1,1,0,3,1,0,1,2,1,1,1,1,0,0,0,0,0,2,1
3,1,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1
4,2,1,1,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1
5,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,2,0,1
6,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,1
7,2,1,1,0,3,1,0,1,2,1,1,1,1,2,0,0,0,0,0,1
8,1,0,1,0,3,1,1,1,2,1,1,1,1,0,0,0,0,0,2,1
9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14,3,5,0,0,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,1
15,1,1,1,0,3,1,0,1,2,1,1,1,0,0,1,0,0,0,1,1
16,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
17,2,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2,1,1,0,3,1,0,0,1,0,2,1,1,0,0,0,0,0,0,1
20,1,4,0,0,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1
21,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,2,0,1,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,3,0,1,1,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
26,2,0,1,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,1
27,3,5,0,0,3,2,2,1,2,0,0,1,2,0,0,0,1,0,0,1
28,2,0,1,1,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1
29,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
30,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1
31,2,0,1,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,1
32,1,1,1,0,3,1,0,1,2,1,1,1,0,2,0,0,0,0,0,1
33,1,0,1,0,3,1,1,1,2,1,1,1,0,0,0,0,0,1,2,1
34,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
